pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
14629,BL,nse_cm,,HILTON,HILTON-BL,,HILTON-BL,INE788H01017,,,,HILTON METAL FORGING LTD,,,1,1,-1,-1,2,-1,NSE,,,864432000,,864432000,0,0,0,0,1456358400,20.49-21.75,0,0,1456077375,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,1134577.00,1,0,2175,2049,1,1,1,0,0,1,0,3.46966e+07,0,0,1134577,
5526,SG,nse_cm,,705TS35,705TS35-SG,,705TS35-SG,IN4520210134,,,,SDL TS 7.05% 2035,,,1,100,-1,-1,2,-1,NSE,,,1315094400,,1315094400,0,0,0,0,0,95.00-105.00,0,0,1456072745,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,
760756,SG,nse_cm,,762WB47,762WB47-SG,,762WB47-SG,IN3420250323,,,,SDL WB 7.62% 2047,,,1,100,-1,-1,2,-1,NSE,,,1454198400,,1454198400,0,0,0,0,0,95.00-105.00,0,0,1456072753,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,2e+08,0,0,1000000,
20862,SG,nse_cm,,699GA30,699GA30-SG,,699GA30-SG,IN1420190176,,,,SDL GA 6.99% 2030,,,1,100,-1,-1,2,-1,NSE,,,1280275200,,1280275200,0,0,0,0,0,98.95-109.35,0,0,1456072748,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,245249.00,100,0,10935,9895,1,1,1,0,0,1,0,7.5e+06,0,0,245249,
13299,BL,nse_cm,,VISASTEEL,VISASTEEL-BL,,VISASTEEL-BL,INE286H01012,,,,VISA STEEL LIMITED,,,1,1,-1,-1,2,-1,NSE,,,827020800,,827020800,0,0,1411257600,1411776000,0,38.32-40.68,0,0,1456077372,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,2495611.00,1,0,4068,3832,1,1,1,0,0,1,0,1.1579e+08,0,0,2495611,
12663,BL,nse_cm,,AMJLAND,AMJLAND-BL,,AMJLAND-BL,INE606A01024,,,,AMJ LAND HOLDINGS LIMITED,,,1,1,-1,-1,2,-1,NSE,,,816220800,,816220800,0,0,0,0,1440201600,39.36-41.78,0,0,1456077357,,,,,,,,,,CASH,,,,,200,,,,0,20,,0.0000,T+1,315513000,0,1,1340699.00,1,0,4178,3936,1,1,1,0,0,1,0,4.1e+07,0,0,1340699,
757555,SG,nse_cm,,71WB50,71WB50-SG,,71WB50-SG,IN3420250034,,,,SDL WB 7.1% 2050,,,1,100,-1,-1,2,-1,NSE,,,1435449600,,1435449600,0,0,0,0,0,90.25-99.75,0,0,1456072752,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1052600.00,100,0,9975,9025,1,1,1,0,0,1,0,2e+08,0,0,1052600,
5941,BL,nse_cm,,MONTECARLO,MONTECARLO-BL,,MONTECARLO-BL,INE950M01013,,,,MONTE CARLO FASHIONS LTD.,,,5,1,-1,-1,2,-1,NSE,,,1103414400,,1103414400,0,0,0,0,1442966400,559.00-593.50,0,0,1456077363,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,173631.00,1,0,59350,55900,1,1,1,0,0,1,0,2.07321e+07,0,0,173631,
758498,BL,nse_cm,,SBILIQETF,SBILIQETF-BL,,SBILIQETF-BL,INF200KB1969,,,,SBIAMC - SBILIQETF,,,1,1,-1,-1,2,-1,NSE,,,1439510400,,1439510400,0,0,0,0,0,996.54-1058.18,0,0,1456077390,,,,,,,,,,CASH,,,,,100000,,,,0,20,,0.0000,T+1,315513000,0,1,12849.00,1,0,105818,99654,1,1,1,0,0,1,0,392938,0,0,12849,
13381,EQ,nse_cm,,KKCL,KKCL-EQ,,KKCL,INE401H01017,,,,KEWAL KIRAN CLOTHING LTD,,,5,1,-1,-1,2,-1,NSE,,,829353600,,829353600,0,0,0,0,1455667200,414.80-622.10,0,0,1456081179,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,192825.00,1,0,62210,41480,1,1,1,0,0,1,0,6.16252e+07,0,0,192825,
